indicator,type,first_seen,last_seen,comment
83.97.20.90,IP,10/31/2020,10/31/2020,c2
70.66.139.68,IP,10/31/2020,10/31/2020,c2
193.239.147.211,IP,12/12/2020,12/12/2020,c2
185.10.68.175,IP,9/2/2020,9/29/2020,c2
185.212.128.115,IP,2/24/2021,3/9/2021,c2
95.179.164.28,IP,2/15/2021,3/8/2021,c2
54.171.230.55,IP,3/14/2021,3/14/2021,c2
34.249.145.219,IP,3/14/2021,3/14/2021,c2
91.189.92.40,IP,3/14/2021,3/14/2021,c2
35.232.111.17,IP,3/14/2021,3/14/2021,c2
35.224.170.84,IP,3/14/2021,3/14/2021,c2
91.189.92.20,IP,3/14/2021,3/14/2021,c2
5.253.84.197,IP,10/28/2020,11/8/2020,c2
45.141.59.186,IP,12/4/2020,12/20/2020,c2
172.104.4.144,IP,2/26/2021,3/10/2021,c2
198.144.190.116,IP,11/14/2020,11/23/2020,malware host
23.94.69.168,IP,2/12/2021,3/10/2021,malware host
107.174.133.119,IP,11/20/2020,12/4/2020,malware host
45.145.185.229,IP,1/31/2021,2/17/2021,malware host
45.145.185.221,IP,2/7/2021,3/7/2021,malware host
193.239.147.224,IP,2/5/2021,2/5/2021,malware host
45.153.203.242,IP,2/16/2021,3/8/2021,malware host
45.153.203.124,IP,2/16/2021,3/8/2021,malware host
45.145.185.83,IP,2/14/2021,3/9/2021,malware host
198.144.190.5,IP,11/26/2020,3/2/2021,malware host
172.245.36.128,IP,2/17/2021,3/8/2021,malware host
45.144.225.96,IP,3/3/2021,3/11/2021,malware host
45.144.225.65,IP,3/14/2021,3/14/2021,malware host
http://83.97.20.90/bins/keksec.x86,URL,10/31/2020,10/31/2020,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinssh4,URL,11/14/2020,11/23/2020,malware url
http://83.97.20.90/bins/mirai.x86,URL,10/21/2020,11/1/2020,malware url
http://198.144.190.116/bins/SDFhsfdJI.x86,URL,11/10/2020,11/23/2020,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFarm5,URL,2/12/2021,3/10/2021,malware url
http://107.174.133.119/bins/keksec.arm5,URL,11/20/2020,12/4/2020,malware url
http://45.145.185.229/bins/keksec.sh4,URL,1/31/2021,2/17/2021,malware url
http://83.97.20.90/bins/mirai.x64,URL,10/10/2020,10/22/2020,malware url
http://83.97.20.90/bins/mirai.mpsl,URL,10/9/2020,10/18/2020,malware url
http://193.239.147.211/bins/keksec.i586,URL,12/12/2020,12/12/2020,malware url
http://70.66.139.68/bins/keksec.mpsl,URL,11/2/2020,11/15/2020,malware url
http://83.97.20.90/bins/mirai.m68k,URL,10/29/2020,11/8/2020,malware url
http://83.97.20.90/bins/mirai.ppc,URL,9/27/2020,9/27/2020,malware url
http://83.97.20.90/bins/mirai.sparc,URL,9/12/2020,9/12/2020,malware url
http://185.10.68.175/bins/mirai.x86,URL,9/2/2020,9/29/2020,malware url
http://70.66.139.68/bins/keksec.ppc-440fp,URL,10/31/2020,10/31/2020,malware url
http://45.145.185.221/bins/keksec.sh4,URL,2/7/2021,3/7/2021,malware url
http://107.174.133.119/bins/keksec.mpsl,URL,11/21/2020,12/4/2020,malware url
http://193.239.147.224/bins/keksec.m68k,URL,2/5/2021,2/5/2021,malware url
http://45.153.203.242/bins/fagbinz.sh4,URL,2/16/2021,3/8/2021,malware url
http://45.153.203.124/S1eJ3/lPxdChtp3zsh4,URL,2/16/2021,3/8/2021,malware url
http://45.145.185.229/bins/keksec.mips64,URL,1/25/2021,1/25/2021,malware url
http://107.174.133.119/bins/keksec.x86,URL,11/20/2020,12/4/2020,malware url
http://83.97.20.90/bins/mirai.arm,URL,9/21/2020,9/21/2020,malware url
http://83.97.20.90/bins/mirai.arm7,URL,10/3/2020,10/3/2020,malware url
http://23.94.69.168/bins/keksec.i586,URL,2/11/2021,2/17/2021,malware url
http://107.174.133.119/bins/keksec.m68k,URL,11/21/2020,12/4/2020,malware url
http://107.174.133.119/bins/keksec.armv4eb,URL,11/22/2020,12/4/2020,malware url
http://107.174.133.119/bins/keksec.arm7,URL,11/22/2020,12/4/2020,malware url
http://23.94.69.168/bins/keksec.m68k,URL,2/11/2021,3/9/2021,malware url
http://83.97.20.90/bins/mirai.nvm,URL,10/3/2020,10/3/2020,malware url
http://45.145.185.221/bins/keksec.arm5,URL,2/7/2021,3/7/2021,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsppc,URL,11/14/2020,1/1/2021,malware url
http://83.97.20.90/bins/mirai.sh4,URL,9/29/2020,10/11/2020,malware url
http://45.145.185.221/bins/keksec.m68k,URL,2/9/2021,3/7/2021,malware url
http://45.145.185.229/bins/keksec.ppc,URL,12/31/2020,3/1/2021,malware url
http://70.66.139.68/bins/keksec.ppc,URL,10/31/2020,10/31/2020,malware url
http://23.94.69.168/bins/keksec.spc,URL,2/11/2021,3/9/2021,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsmips,URL,11/14/2020,11/23/2020,malware url
http://45.145.185.229/bins/keksec.x86,URL,1/31/2021,1/31/2021,malware url
http://107.174.133.119/bins/keksec.mips,URL,11/21/2020,12/1/2020,malware url
http://193.239.147.224/bins/keksec.spc,URL,2/5/2021,2/17/2021,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFppc-440fp/,URL,2/12/2021,3/11/2021,malware url
http://45.145.185.83/bins/AJhkewbfwefWEFmips,URL,2/14/2021,3/9/2021,malware url
http://70.66.139.68/bins/keksec.arm,URL,11/1/2020,11/1/2020,malware url
http://198.144.190.5/bins/keksec.mips,URL,11/26/2020,3/2/2021,malware url
http://198.144.190.5/bins/keksec.mpsl,URL,11/26/2020,12/7/2020,malware url
http://70.66.139.68/bins/keksec.m68k,URL,11/1/2020,11/1/2020,malware url
http://83.97.20.90/bins/mirai.nvm2,URL,10/3/2020,10/3/2020,malware url
http://83.97.20.90/bins/keksec.sh4,URL,10/31/2020,10/31/2020,malware url
http://70.66.139.68/bins/keksec.mips,URL,10/31/2020,10/31/2020,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zx86,URL,2/17/2021,3/8/2021,malware url
http://83.97.20.90/bins/mirai.pcc2,URL,9/3/2020,9/30/2020,malware url
http://45.145.185.221/bins/keksec.spc,URL,2/7/2021,3/7/2021,malware url
http://45.153.203.124/bins/AJhkewbfwefWEFx86,URL,2/15/2021,3/8/2021,malware url
http://107.174.133.119/bins/keksec.x64,URL,11/22/2020,12/4/2020,malware url
http://107.174.133.119/bins/keksec.ppc-440fp,URL,11/24/2020,12/11/2020,malware url
http://83.97.20.90/bins/mirai.mips,URL,10/4/2020,10/4/2020,malware url
http://45.145.185.229/bins/keksec.arm5,URL,12/31/2020,3/1/2021,malware url
http://185.10.68.175/bins/mirai.x64,URL,8/26/2020,8/26/2020,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zm68k,URL,2/17/2021,3/8/2021,malware url
http://45.145.185.221/bins/keksec.mpsl,URL,2/9/2021,3/7/2021,malware url
http://107.174.133.119/bins/keksec.sh4,URL,11/20/2020,12/23/2020,malware url
http://83.97.20.90/bins/keksec.spc,URL,10/31/2020,10/31/2020,malware url
http://107.174.133.119/bins/keksec.spc,URL,11/21/2020,12/4/2020,malware url
http://70.66.139.68/bins/keksec.x86,URL,11/2/2020,11/15/2020,malware url
http://83.97.20.90/bins/keksec.ppc,URL,10/31/2020,10/31/2020,malware url
http://83.97.20.90/bins/keksec.mpsl,URL,10/31/2020,10/31/2020,malware url
http://198.144.190.116/bins/keksec.m68k,URL,11/10/2020,11/23/2020,malware url
http://45.145.185.229/bins/keksec.m68k,URL,1/31/2021,3/11/2021,malware url
http://45.153.203.242/bins/fagbinz.ppc,URL,2/10/2021,3/7/2021,malware url
http://107.174.133.119/bins/keksec.ppc,URL,11/22/2020,12/4/2020,malware url
http://193.239.147.224/bins/keksec.mpsl,URL,2/5/2021,2/17/2021,malware url
http://198.144.190.116/bins/SDFhsfdJI.arm5,URL,11/11/2020,11/23/2020,malware url
http://107.174.133.119/bins/keksec.arm,URL,11/21/2020,12/4/2020,malware url
http://70.66.139.68/bins/keksec.i586,URL,10/31/2020,10/31/2020,malware url
http://45.145.185.229/bins/keksec.arm,URL,12/30/2020,12/30/2020,malware url
http://198.144.190.116/bins/keksec.spc,URL,11/10/2020,12/31/2020,malware url
http://45.144.225.96/S1eJ3/IObeENwjm68k,URL,3/3/2021,3/11/2021,malware url
http://45.145.185.221/bins/keksec.x86,URL,2/10/2021,3/7/2021,malware url
http://45.145.185.229/bins/keksec.mpsl,URL,12/30/2020,12/30/2020,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zx64,URL,2/17/2021,3/8/2021,malware url
http://107.174.133.119/bins/keksec.arcle750d,URL,11/22/2020,2/17/2021,malware url
http://185.10.68.175/bins/mirai.nvm2,URL,9/2/2020,9/29/2020,malware url
http://185.10.68.175/bins/mirai.ppc,URL,9/2/2020,9/29/2020,malware url
http://185.10.68.175/bins/mirai.nvm,URL,9/2/2020,9/29/2020,malware url
http://45.144.225.96/S1eJ3/IObeENwjsh4,URL,2/26/2021,3/10/2021,malware url
http://23.94.69.168/bins/keksec.sh4,URL,2/12/2021,3/10/2021,malware url
http://45.145.185.229/bins/nginx.html/keksec.mips,URL,1/6/2021,3/1/2021,malware url
http://45.145.185.83/bins/AJhkewbfwefWEFm68k,URL,2/14/2021,3/9/2021,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsppc-440fp,URL,11/14/2020,11/23/2020,malware url
http://83.97.20.90/bins/keksec.m68k,URL,10/31/2020,10/31/2020,malware url
http://45.153.203.124/bins/AJhkewbfwefWEFsh4,URL,2/15/2021,3/12/2021,malware url
http://45.145.185.221/bins/keksec.arm,URL,2/9/2021,3/7/2021,malware url
http://45.145.185.229/bins/nginx.html/keksec.ppc,URL,1/6/2021,3/1/2021,malware url
http://45.145.185.83/bins/keksec.mips,URL,2/11/2021,3/10/2021,malware url
http://23.94.69.168/bins/keksec.mips,URL,2/11/2021,3/10/2021,malware url
http://45.145.185.229/bins/keksec.ppc-440fp,URL,1/31/2021,2/17/2021,malware url
http://83.97.20.90/bins/keksec.arm7,URL,10/31/2020,10/31/2020,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFppc-440fp,URL,2/12/2021,3/12/2021,malware url
http://45.145.185.221/bins/keksec.mips,URL,2/9/2021,3/7/2021,malware url
http://185.10.68.175/bins/mirai.sparc,URL,9/3/2020,9/3/2020,malware url
http://45.145.185.221/bins/keksec.arm7,URL,2/9/2021,3/7/2021,malware url
http://193.239.147.211/bins/keksec.x64,URL,12/12/2020,2/18/2021,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFarm,URL,2/12/2021,3/9/2021,malware url
http://198.144.190.5/bins/keksec.spc,URL,11/26/2020,3/2/2021,malware url
http://198.144.190.5/bins/keksec.x86,URL,11/25/2020,1/22/2021,malware url
http://198.144.190.5/bins/keksec.ppc,URL,11/26/2020,2/18/2021,malware url
http://193.239.147.224/bins/keksec.x64,URL,2/5/2021,3/5/2021,malware url
http://45.153.203.242/bins/fagbinz.x86,URL,2/15/2021,3/8/2021,malware url
http://45.153.203.124/S1eJ3/lPxdChtp3zx86,URL,2/15/2021,3/8/2021,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsarm7,URL,11/14/2020,11/23/2020,malware url
http://45.145.185.83/S1eJ3/IObeENwjsh4,URL,2/23/2021,3/9/2021,malware url
http://45.145.185.83/S1eJ3/IObeENwjbsd,URL,2/23/2021,3/11/2021,malware url
http://198.144.190.116/bins/SDFhsfdJI.m68k,URL,11/11/2020,12/9/2020,malware url
http://198.144.190.116/bins/keksec.mips,URL,11/10/2020,11/23/2020,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFi586,URL,2/12/2021,3/11/2021,malware url
http://198.144.190.116/bins/SDFhsfdJI.ppc,URL,11/11/2020,11/23/2020,malware url
http://185.10.68.175/bins/mirai.mips,URL,9/3/2020,9/3/2020,malware url
http://107.174.133.119/bins/keksec.mips64,URL,11/24/2020,12/9/2020,malware url
http://45.153.203.242/bins/fagbinz.arm5,URL,2/24/2021,3/9/2021,malware url
http://83.97.20.90/bins/keksec.mips,URL,10/31/2020,10/31/2020,malware url
http://185.10.68.175/bins/mirai.sh4,URL,9/3/2020,10/9/2020,malware url
http://185.10.68.175/bins/mirai.arm7,URL,9/3/2020,9/28/2020,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFspc,URL,2/12/2021,3/11/2021,malware url
http://185.10.68.175/bins/mirai.pcc2,URL,9/2/2020,9/30/2020,malware url
http://45.145.185.229/bins/keksec.arm7,URL,12/30/2020,12/30/2020,malware url
http://198.144.190.116/bins/keksec.x64,URL,11/10/2020,3/1/2021,malware url
http://70.66.139.68/bins/keksec.sh4,URL,10/31/2020,10/31/2020,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsi586,URL,11/14/2020,11/23/2020,malware url
http://198.144.190.116/bins/SDFhsfdJI.mips,URL,11/10/2020,11/23/2020,malware url
http://45.153.203.242/bins/fagbinz.mpsl,URL,2/24/2021,3/10/2021,malware url
http://70.66.139.68/bins/keksec.arm5,URL,11/2/2020,11/15/2020,malware url
http://107.174.133.119/bins/keksec.i486,URL,11/22/2020,12/4/2020,malware url
http://23.94.69.168/bins/keksec.arm7,URL,2/12/2021,3/9/2021,malware url
http://45.145.185.229/bins/nginx.html/keksec.i586,URL,1/6/2021,3/1/2021,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFsh4,URL,2/12/2021,3/12/2021,malware url
http://70.66.139.68/bins/keksec.x64,URL,10/31/2020,10/31/2020,malware url
http://23.94.69.168/bins/keksec.x64,URL,2/11/2021,2/18/2021,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zspc,URL,2/17/2021,3/8/2021,malware url
http://45.145.185.83/bins/AJhkewbfwefWEFsh4,URL,2/14/2021,3/9/2021,malware url
http://45.144.225.96/S1eJ3/IObeENwjspc,URL,2/26/2021,3/11/2021,malware url
http://45.145.185.221/bins/keksec.i586,URL,2/9/2021,3/7/2021,malware url
http://45.144.225.65/S1eJ3/IObeENwjx86,URL,3/14/2021,3/14/2021,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsm68k,URL,11/18/2020,12/2/2020,malware url
http://45.145.185.83/S1eJ3/lPxdChtp3zsh4,URL,2/21/2021,3/9/2021,malware url
http://45.145.185.229/bins/keksec.i586,URL,1/31/2021,2/17/2021,malware url
http://107.174.133.119/bins/keksec.armv4l,URL,11/22/2020,12/4/2020,malware url
http://45.145.185.229/bins/keksec.spc,URL,1/31/2021,3/2/2021,malware url
http://198.144.190.5/bins/keksec.arm7,URL,11/26/2020,12/7/2020,malware url
http://45.145.185.229/bins/keksec.mips,URL,12/31/2020,3/1/2021,malware url
http://193.239.147.211/bins/keksec.x86,URL,12/7/2020,12/14/2020,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsmpsl,URL,11/18/2020,12/2/2020,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zppc-440fp,URL,2/17/2021,3/8/2021,malware url
http://70.66.139.68/bins/keksec.arm7,URL,11/2/2020,11/15/2020,malware url
http://45.153.203.124/bins/AJhkewbfwefWEFmips,URL,2/15/2021,3/13/2021,malware url
http://45.153.203.242/bins/fagbinz.ppc-440fp,URL,2/15/2021,3/8/2021,malware url
http://45.153.203.124/S1eJ3/lPxdChtp3zppc-440fp,URL,2/15/2021,3/8/2021,malware url
http://45.145.185.83/bins/AJhkewbfwefWEFspc,URL,2/14/2021,3/9/2021,malware url
http://107.174.133.119/bins/keksec.arcle-hs38,URL,11/24/2020,12/9/2020,malware url
http://45.145.185.83/S1eJ3/lPxdChtp3zbsd,URL,2/21/2021,3/9/2021,malware url
http://45.145.185.83/S1eJ3/IObeENwjx64,URL,2/23/2021,3/9/2021,malware url
http://198.144.190.116/bins/keksec.sh4,URL,11/10/2020,11/23/2020,malware url
http://45.153.203.242/bins/fagbinz.mips,URL,2/10/2021,3/7/2021,malware url
http://107.174.133.119/bins/keksec.i586,URL,11/21/2020,12/4/2020,malware url
http://45.145.185.221/bins/keksec.ppc-440fp,URL,2/8/2021,3/7/2021,malware url
http://185.10.68.175/bins/mirai.m68k,URL,9/2/2020,9/29/2020,malware url
http://172.245.36.128/S1eJ3/lPxdChtp3zsh4,URL,2/17/2021,3/8/2021,malware url
http://23.94.69.168/bins/keksec.mpsl,URL,2/12/2021,3/10/2021,malware url
http://45.145.185.83/bins/AJhkewbfwefWEFarm7,URL,2/14/2021,3/10/2021,malware url
http://23.94.69.168/bins/keksec.x86,URL,2/11/2021,3/11/2021,malware url
http://193.239.147.224/bins/keksec.arm,URL,2/5/2021,2/5/2021,malware url
http://45.145.185.83/S1eJ3/lPxdChtp3zmpsl,URL,2/21/2021,2/21/2021,malware url
http://193.239.147.211/bins/keksec.arm7,URL,12/12/2020,12/15/2020,malware url
http://198.144.190.116/bins/ayylmao420kekuaintgettindesebinsarm,URL,11/13/2020,11/18/2020,malware url
http://198.144.190.116/bins/SDFhsfdJI.arm,URL,11/13/2020,11/18/2020,malware url
http://23.94.69.168/bins/AJhkewbfwefWEFppc,URL,2/12/2021,3/11/2021,malware url
